clock,horizon,mean_impact_bps,fraction_of_completion,fraction_of_size_endpoint,reference_quote_completion_bps,reference_size_endpoint_bps,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
z,1.4166666666666665,1.6290683193243372,1.1562718936778618,0.9766787256593005,1.4088972742756962,1.6679674457172653,0.023956940819951495,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.5,1.6031086398817578,1.1378463633595317,0.9611150649240539,1.4088972742756962,1.6679674457172653,0.024734308093185463,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.5833333333333333,1.5841669814708172,1.1244020486058686,0.9497589329686157,1.4088972742756962,1.6679674457172653,0.025359321384901528,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.6666666666666665,1.5636616946169188,1.1098479095438565,0.9374653555930209,1.4088972742756962,1.6679674457172653,0.025963848604711834,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.75,1.5544363829046157,1.1033000143347853,0.931934485229819,1.4088972742756962,1.6679674457172653,0.02662931338021221,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.8333333333333333,1.5374390410941339,1.0912357268094794,0.9217440334592375,1.4088972742756962,1.6679674457172653,0.027245600102908735,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,1.9166666666666665,1.535293747694812,1.0897130512826745,0.9204578612351751,1.4088972742756962,1.6679674457172653,0.027836491353707245,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.0,1.5227094021336207,1.0807809979733507,0.9129131423058559,1.4088972742756962,1.6679674457172653,0.02823192881709245,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.083333333333333,1.517298869747593,1.0769407375904148,0.9096693545449377,1.4088972742756962,1.6679674457172653,0.028804394826561785,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.1666666666666665,1.5080867435981085,1.070402201163605,0.9041463893497008,1.4088972742756962,1.6679674457172653,0.029366769776053608,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.25,1.5011155975360135,1.065454256278355,0.8999669636181049,1.4088972742756962,1.6679674457172653,0.029960113258108576,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.333333333333333,1.4890092424372467,1.0568614686281763,0.8927088153072062,1.4088972742756962,1.6679674457172653,0.03048590813260823,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.4166666666666665,1.4829721718273594,1.0525765071053492,0.8890893977787716,1.4088972742756962,1.6679674457172653,0.030960775792378794,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.5,1.484238060743913,1.0534750033546263,0.8898483387999552,1.4088972742756962,1.6679674457172653,0.03141123226563178,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.583333333333333,1.4832342966373915,1.0527625567306966,0.8892465500125908,1.4088972742756962,1.6679674457172653,0.03174099542679421,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.6666666666666665,1.4727571082977657,1.0453261108443122,0.88296513944518,1.4088972742756962,1.6679674457172653,0.03234004163460484,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.75,1.4680199801807332,1.0419638159463624,0.8801250791495214,1.4088972742756962,1.6679674457172653,0.03281978771058232,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.833333333333333,1.462236769826527,1.037859038075187,0.8766578589894066,1.4088972742756962,1.6679674457172653,0.03328639014194558,35747,35831,normal,aggressive,random_n6,random_traders,71,True
z,2.9166666666666665,1.463745184995797,1.0389296733846671,0.877562202280484,1.4088972742756962,1.6679674457172653,0.03364272058988355,35747,35831,normal,aggressive,random_n6,random_traders,71,True
