clock,horizon,mean_impact_bps,fraction_of_completion,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
seconds,60.0,0.6647293894506409,0.9716300939553354,0.07252599130245363,5317,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
seconds,180.0,0.706910079157239,1.0332853000484399,0.10935695187441585,5317,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
seconds,600.0,0.6087870526038043,0.8898595887404326,0.18765985261736953,5317,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.0,0.43823136142876024,0.6397197249789114,0.042126461720148015,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.0833333333333333,0.7830160607389682,1.1430282337550879,0.04557396870739293,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.1666666666666667,0.7742955091744053,1.1302981798621887,0.046597433544521144,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.25,0.7793178444445716,1.1376296655123892,0.04774601801478899,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.3333333333333333,0.7841836344257522,1.1447326300706935,0.04834034956903219,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.4166666666666665,0.7963507871716268,1.1624939504449145,0.051276593399426584,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.5,0.7912191905399423,1.1550029676562317,0.0523071703215725,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.5833333333333333,0.7941138745605598,1.1592285585850346,0.053273651487319836,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.6666666666666665,0.7812222371360655,1.1404096526974286,0.05480256707950048,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.75,0.7747558686694499,1.1309702017106509,0.0559160668871442,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.8333333333333333,0.7676274412800361,1.1205642928450223,0.056807303889903286,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,1.9166666666666665,0.7631654697174755,1.1140508128157547,0.058016225370391736,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.0,0.770141957341455,1.1242349236232978,0.05915951408478431,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.083333333333333,0.7692457660112387,1.122926684821252,0.06051746665222224,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.1666666666666665,0.7506104666511408,1.0957233177626409,0.0615350032652497,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.25,0.7421844747781932,1.083423255106096,0.06276070508784817,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.333333333333333,0.7400229446948348,1.0802679048683783,0.06407123461961045,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.4166666666666665,0.718736026650653,1.049193767881753,0.06545400038617918,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.5,0.7161598673793579,1.0454331518109137,0.06646928078038997,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.583333333333333,0.7299759048777111,1.0656014749540341,0.06749222672901001,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.6666666666666665,0.7328859588064628,1.0698495025094,0.06904927861938932,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.75,0.7243132084673867,1.0573352053323408,0.06998920857928735,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.833333333333333,0.7205347149918815,1.051819450368789,0.07083371889606929,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,2.9166666666666665,0.7259301552242254,1.0596955857743477,0.07196471479455062,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
z,3.0,0.7295522246643028,1.0649829966490654,0.07277165024912308,5352,5359,normal,aggressive,threshold_wait20s,time_threshold,23,False
seconds,0.1,0.6459588865974817,1.0626591298511068,0.04268175255914733,5364,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
seconds,1.0,0.686584699781471,1.1294921623912926,0.04362706115323276,5364,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
seconds,5.0,0.7103369933781154,1.1685667725082465,0.04636511315629011,5364,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
seconds,15.0,0.714076359291797,1.1747183580200717,0.052133341369905474,5364,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
seconds,30.0,0.7024949323303434,1.1556658929907277,0.058827575529785014,5364,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
seconds,60.0,0.6799040093814475,1.1185018396407405,0.07069584698980894,5364,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
seconds,180.0,0.640186662155251,1.0531633134294212,0.10780348716236304,5364,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
seconds,600.0,0.5741768775785115,0.9445714174196568,0.18468870991626365,5364,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.0,0.36359182134402185,0.598861868420861,0.041026625437389413,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.0833333333333333,0.6914522377521506,1.1388715441765715,0.04473467187535105,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.1666666666666667,0.6956852600431881,1.145843636202479,0.04694499276884582,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.25,0.6915288837650158,1.1389977856698532,0.04791803027190043,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.3333333333333333,0.6903503638752204,1.1370566786873992,0.04916350684512449,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.4166666666666665,0.7004540571075313,1.1536981877969452,0.05053801521905,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.5,0.6857730054649794,1.1295174403187915,0.0515467258970785,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.5833333333333333,0.6822728798340797,1.123752481780175,0.053892690767151794,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
